Log for:/Users/brloureiro/dev-projects/webpage_new/
# timestamp | duration | file | instruction | dir | modtime | etag | size | fileId | status | errorString | http result code | other size | other modtime | X-Request-ID
#=#=#=# Syncrun started 2022-12-21T06:23:14Z
#=#=#=# Syncrun finished 2022-12-21T06:23:14Z (last step: 16 msec , total: 16 msec) 
#=#=#=# Syncrun started 2022-12-21T08:57:33Z
#=#=#=# Syncrun finished 2022-12-21T08:57:33Z (last step: 12 msec , total: 12 msec) 
#=#=#=# Syncrun started 2022-12-22T00:40:42Z
#=#=#=# Syncrun finished 2022-12-22T00:40:42Z (last step: 5 msec , total: 5 msec) 
#=#=#=# Syncrun started 2022-12-22T20:48:43Z
#=#=#=#=# Propagation starts 2022-12-22T20:48:45Z (last step: 1975 msec , total: 1975 msec) 
2022-12-22T20:48:57Z | _layouts/archive-tag.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | d86ef6f8f95ae89ac0cf222952569bd8 | 672 | 2866002054ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 89382c29-4fe7-438b-91ca-21b431f22145 | 
2022-12-22T20:48:57Z | _layouts/about.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663580445 | 059a26ab3eda0fbb593f7c11da8288f5 | 1894 | 2866002070ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | c0aee523-d842-47e5-9fb6-a9bccdd15e9d | 
2022-12-22T20:48:59Z | _layouts/default.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 56f141ca4b523c9d1eacefc20ea283e8 | 887 | 2866002098ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | e94b029e-54d0-4c3d-9757-acbdd6bdf946 | 
2022-12-22T20:48:59Z | _layouts/bib.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 804fe88fcd3cac87064d88224091fee5 | 6686 | 2866002110ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 9f380008-1380-46c6-9861-82f20032bfdb | 
2022-12-22T20:49:01Z | _layouts/none.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 86b047dddb6e7b80e18193e39b44d010 | 12 | 2866002146ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 190807b7-ecbe-4cf9-89fa-d483f900782d | 
2022-12-22T20:49:00Z | _layouts/page.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | db3b38cca371f27fc6b2f65b8a90c302 | 338 | 2866002154ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 71ceb019-30be-4973-8eb6-ad4db02e718a | 
2022-12-22T20:49:00Z | _layouts/distill.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 73f36af0e6ce7ccde3efe89d9722749d | 2948 | 2866002162ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | f4fa914a-e1c4-48ee-9b5b-3602dcf58d18 | 
2022-12-22T20:49:01Z | _layouts/parse.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | c59edb8ae7baeb64e67435390d4c6730 | 970 | 2866002166ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 38149369-2a53-4bf6-9446-2ef4b28d40a9 | 
2022-12-22T20:49:01Z | _layouts/post.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | b4c043bc26fb0ae4a97adfa714a7ad79 | 2186 | 2866002198ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | b6d2ba6c-c2b4-481b-8b44-f2ea2a3382af | 
2022-12-22T20:48:46Z | _layouts | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 |  | 416 | 2866001678ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | e47173b4-6bf9-41cc-b6c3-be6d8f50d40d | 
2022-12-22T20:49:03Z | _news/arxiv_icml2.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 4ce1588d73316bb5d0f0f9e1621aa0e1 | 559 | 2866002234ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 4169ffc9-30b0-419d-a1e6-1b24d173b8d5 | 
2022-12-22T20:49:03Z | _news/arxiv_subspace.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663580442 | 42a2c1ae61f1799a27422d6beef6811a | 688 | 2866002250ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 44c075b4-5a18-4951-b8ba-0753403d8fd9 | 
